game_type,etype,move,stay,none,correct,mistaken,abdicated,total,error_rate,error_ci_low,error_ci_high,median_choice_rt,median_prediction_rt
⊥⊥,⊥⊥,338,228,18,256,310,18,584,0.54805,0.5053,0.58834,3.88068974,5.826023579
⊥⊤,⊥⊤,353,202,29,380,175,29,584,0.31653,0.27748,0.35495,4.055175543,5.837016582
⊤⊥,⊤⊥,324,220,40,234,310,40,584,0.56985,0.52757,0.61213,3.8091045615,5.844009876
⊤⊤,⊤⊤,358,205,21,356,207,21,584,0.36935,0.3286,0.40675,4.044533014,5.850566387
SMSM,⊥⊥,182,100,10,100,182,10,292,0.64539,0.58865,0.69867,4.313702106,5.985811949
MSMS,⊥⊥,156,128,8,156,128,8,292,0.4507,0.39437,0.51056,3.6817569734999998,5.497735143
SMSS,⊥⊤,124,151,17,151,124,17,292,0.45091,0.39273,0.50909,4.208573341,5.7793585064999995
MSMM,⊥⊤,229,51,12,229,51,12,292,0.18214,0.13929,0.22857,4.0363446475,5.911290646
SSSM,⊤⊥,181,91,20,91,181,20,292,0.66544,0.60662,0.72059,4.217455864,6.265274048
MMMS,⊤⊥,143,129,20,143,129,20,292,0.47426,0.41544,0.53309,3.5369274620000004,5.5169738535
SSSS,⊤⊤,140,138,14,138,140,14,292,0.5036,0.44604,0.56115,4.227831602,5.8194954395
MMMM,⊤⊤,218,67,7,218,67,7,292,0.23509,0.18596,0.28421,3.806874275,5.908027887
